PERKEBUNAN KARET DAN SAWIT,2
RT 001 DUSUN I,11
RT 002 DUSUN I,13
RT 003 DUSUN I,14
RT 004 DUSUN II,10
RT 005 DUSUN II,6
RT 006 DUSUN II,9
RT 007 DUSUN III,5
RT 008 DUSUN III,8
RT 009 DUSUN III,19
RT 010 DUSUN IV,22
RT 011 DUSUN IV,15
RT 012 DUSUN IV,20
RT 013 DUSUN V,14
RT 014 DUSUN V,14
RT 015 DUSUN V,13
RT 016 DUSUN VI,12
RT 017 DUSUN VI,72
KEBUN KARET DAN SAWIT,0
SAWAH,0
RT 001 DUSUN I,13
RT 002 DUSUN I,11
RT 003 DUSUN I,12
RT 004 DUSUN II,13
RT 005 DUSUN II,12
RT 006 DUSUN II,14
RT 007 DUSUN III,17
RT 008 DUSUN III,16
RT 009 DUSUN III,19
RT 010 DUSUN III,1
PERKEBUNAN SAWIT DAN KARET,0
PERKEBUNAN SAWIT DAN KARET,4
RT 001 DUSUN 1,6
RT 002 DUSUN 1,4
RT 004 DUSUN 2,7
RT 005 DUSUN 2,9
RT 006 DUSUN 2,14
RT 003 DUSUN 3,14
SAWAH,0
SAWAH,0
RT 001 DUSUN I SUNGAI MARAM,5
RT 002 DUSUN I SUNGAI MARAM,10
RT 003 DUSUN II LINGKARAN NAGO,7
RT 004 DUSUN II LINGKARAN NAGO,4
RT 005 DUSUN III TANAH GALIAN,7
RT 006 DUSUN III TANAH GALIAN,4
RT 007 DUSUN IV WONOSARI,9
RT 008 DUSUN V PESANTREN,8
RT 009 DUSUN V PESANTREN,13
RT 010 DUSUN VI SP IV,6
RT 011 DUSUN VI SP IV,2
RT 012 DUSUN VI SP IV,3
KEBUN DAN SAWAH,0
KEBUN KARET,0
KEBUN KARET DAN SAWIT,0
KEBUN KARET DAN SAWIT,0
RT 001 DUSUN 1,6
RT 002 DUSUN 1,11
RT 003 DUSUN 2,8
RT 004 DUSUN 2,10
RT 005 DUSUN 3,16
RT 006 DUSUN 3,22
SAWAH DAN KEBUN,0
SAWAH DAN KEBUN,0
RT 001 DUSUN I SERI MUYANG,7
RT 002 DUSUN I SERI MUYANG,6
RT 003 DUSUN I SERI MUYANG,4
RT 004 DUSUN I SERI MUYANG,5
