idsbr,lat_new,long_new,status_label,petugas
95603163,-1.7179139,103.2472689,ORIGINAL,-
95603164,-1.695067616,103.2851327,ORIGINAL,-
95603166,-1.6949546,103.28472,ORIGINAL,-
95603193,-1.72096833,103.1421778,ORIGINAL,-
95603194,-1.7218230061647,103.13733134418,ORIGINAL,-
95603199,-1.7223010717905,103.13665135216,ORIGINAL,-
95603173,-1.69441653,103.28427,ORIGINAL,-
95603175,-1.694582,103.2845,ORIGINAL,-
95603182,-1.6948408414,103.285157131,ORIGINAL,-
95603221,-1.7274699262143,103.21904725007,ORIGINAL,-
95603205,-1.7222334262578,103.135581098,ORIGINAL,-
95603206,-1.7225371635849,103.13443683582,ORIGINAL,-
95603213,-1.7192278049,103.13574173,ORIGINAL,-
95603185,-1.69461156,103.284495,ORIGINAL,-
95603230,-1.7267592852319,103.21583390007,ORIGINAL,-
95603235,-1.7205246060295,103.20539101534,ORIGINAL,-
95603238,-1.7333793552223,103.17401052698,ORIGINAL,-
95603243,-1.6999066351077,103.16605981349,ORIGINAL,-
95602992,-1.573241713953,103.0337082521,ORIGINAL,-
95603007,-1.70839,103.1954,ORIGINAL,-
95603748,-1.7836519,103.3338532,ORIGINAL,-
95603749,-1.7861317,103.3320372,ORIGINAL,-
95603757,-1.784999,103.3310146,ORIGINAL,-
95603759,-1.7591403716513,103.32863149211,ORIGINAL,-
95603741,-1.7865926657952,103.32788085767,ORIGINAL,-
95603744,-1.79093,103.324,ORIGINAL,-
95603036,-1.718202287,103.1389731,ORIGINAL,-
95603038,-1.7220418379936,103.14263323553,ORIGINAL,-
95603058,-1.707546880614,103.25931791534,ORIGINAL,-
95603059,-1.71249408881,103.2547141999,ORIGINAL,-
95603060,-1.7131008,103.2540145,ORIGINAL,-
95603793,-1.7053380583769,103.26556546794,ORIGINAL,-
95603754,-1.7859425657175,103.33166067302,ORIGINAL,-
95603044,-1.712146,103.25713,ORIGINAL,-
95603064,-1.7128198253325,103.25390749463,ORIGINAL,-
94515094,-1.9411935758,103.12531883,ORIGINAL,-
94515114,-1.7121247,103.2617254,ORIGINAL,-
94638384,-1.58873604782,103.614739935,ORIGINAL,-
94435627,-1.7125616552,103.26120927,ORIGINAL,-
97705580,-1.6917118,103.27175,ORIGINAL,-
97705825,-1.709314,103.25827,ORIGINAL,-
97705824,-1.72607672032,103.26917121,ORIGINAL,-
97705842,-1.7335258,103.2757657,ORIGINAL,-
97706227,-1.701257517,103.120923,ORIGINAL,-
97704985,-1.7131205014191,103.2539090846,ORIGINAL,-
97763330,-1.450040497988,103.30521583452,ORIGINAL,-
95602838,-1.7181472656734,103.14092045581,ORIGINAL,-
95602871,-1.7021580559284,103.26311857116,ORIGINAL,-
95602827,-1.73042,103.220361,ORIGINAL,-
95602914,-1.905072687035,103.12949594502,ORIGINAL,-
95602919,-1.72052458,103.1397698,ORIGINAL,-
95602916,-1.9485949765853,103.1212134,ORIGINAL,-
95602951,-1.7160795653427,103.25837351349,ORIGINAL,-
95602973,-1.7119002261416,103.25607602024,ORIGINAL,-
95602942,-1.7198594298,103.1410573571,ORIGINAL,-
95602981,-1.899465978502,103.15632601692,ORIGINAL,-
95602983,-1.7030102624894,103.14028745396,ORIGINAL,-
95603017,-1.71344057736,103.12418429102,ORIGINAL,-
95604311,-1.587691592746,103.45526344048,ORIGINAL,-
95603035,-1.7212320011649,103.13918605371,ORIGINAL,-
95603046,-1.711922981091,103.25650595581,ORIGINAL,-
95603062,-1.7137909091,103.25302708,ORIGINAL,-
95603123,-1.714297998,103.12139332,ORIGINAL,-
95602980,-1.935500661646,103.1588241269,ORIGINAL,-
95604313,-1.5492482768228,103.39907165292,ORIGINAL,-
95604352,-1.7901435010337,103.4006498,ORIGINAL,-
95603077,-1.7019146,103.2908,ORIGINAL,-
95603146,-1.7845601182903,103.20970007116,ORIGINAL,-
95603149,-1.7274738148949,103.22754272106,ORIGINAL,-
95603170,-1.69472149,103.285449,ORIGINAL,-
95603086,-1.695652037,103.2866456,ORIGINAL,-
95603168,-1.69476468,103.285256,ORIGINAL,-
95603198,-1.7112523703,103.13162326,ORIGINAL,-
95603187,-1.6943497,103.28267,ORIGINAL,-
95603081,-1.695152482713,103.2943350846,ORIGINAL,-
95603186,-1.6947809,103.28508,ORIGINAL,-
95603190,-1.694374,103.28266,ORIGINAL,-
95603204,-1.71549928,103.1192707,ORIGINAL,-
95603189,-1.694374,103.28266,ORIGINAL,-
95603245,-1.6945367598975,103.16514859177,ORIGINAL,-
95603280,-1.6801614,103.280406,ORIGINAL,-
95603311,-1.721218702078,103.13124524233,ORIGINAL,-
95603314,-1.7126837,103.11603,ORIGINAL,-
95603331,-1.6514120477425,103.2650331865,ORIGINAL,-
95603371,-1.7116445252158,103.25905428251,ORIGINAL,-
95603318,-1.7209125890268,103.13124952864,ORIGINAL,-
95603373,-1.7078865,103.2596709,ORIGINAL,-
95603376,-1.7113406210667,103.2576212499,ORIGINAL,-
95603381,-1.7425513,103.2763916,ORIGINAL,-
95603375,-1.71174203616,103.257871717,ORIGINAL,-
95603411,-1.7002072663748,103.1020840865,ORIGINAL,-
95603408,-1.701897569,103.1063191,ORIGINAL,-
95603430,-1.6735444769512,103.2951666846,ORIGINAL,-
95603385,-1.7118882262,103.25840255,ORIGINAL,-
95603405,-1.659885206709,103.11142653894,ORIGINAL,-
95603441,-1.5455509982895,103.27928294396,ORIGINAL,-
